id,familia,marca
86907,1.0,270.0
34202,1.0,156.0
33740,5.0,198.0
24141,1.0,20.0
82801,1.0,50.0
66106,7.0,15.0
79755,1.0,21.0
31014,9.0,33.0
36490,1.0,202.0
34936,1.0,161.0
88639,1.0,213.0
76878,1.0,7.0
86315,1.0,247.0
70374,7.0,19.0
70203,8.0,19.0
75796,1.0,219.0
84318,1.0,221.0
77356,1.0,227.0
29612,9.0,33.0
20421,7.0,67.0
28118,1.0,194.0
75596,1.0,7.0
22889,1.0,20.0
28620,1.0,30.0
87527,1.0,249.0
66448,7.0,186.0
35172,1.0,165.0
19206,7.0,186.0
22061,7.0,98.0
8459,1.0,181.0
93468,1.0,234.0
84640,1.0,213.0
29722,20.0,33.0
18698,7.0,186.0
35448,1.0,165.0
22867,1.0,20.0
105996,1.0,226.0
89145,1.0,176.0
77888,1.0,213.0
17396,7.0,186.0
20803,7.0,76.0
33174,1.0,198.0
20241,7.0,67.0
30924,9.0,33.0
76719,1.0,216.0
74774,1.0,7.0
67181,9.0,39.0
22561,1.0,20.0
10467,1.0,18.0
26473,1.0,23.0
85024,1.0,29.0
12491,1.0,18.0
81237,1.0,176.0
23311,1.0,20.0
87451,1.0,226.0
80025,1.0,21.0
26737,1.0,25.0
84930,1.0,29.0
33858,7.0,199.0
30662,20.0,33.0
20195,1.0,10.0
107984,1.0,267.0
36188,1.0,170.0
86491,1.0,247.0
21295,7.0,76.0
73711,1.0,219.0
83003,1.0,214.0
87579,1.0,249.0
17140,7.0,186.0
22135,7.0,98.0
28142,7.0,194.0
32200,1.0,33.0
29878,7.0,33.0
16697,7.0,186.0
88021,1.0,251.0
33040,20.0,33.0
8720,1.0,18.0
34930,1.0,161.0
79791,2.0,21.0
14469,7.0,44.0
31598,20.0,33.0
29374,1.0,32.0
70458,7.0,19.0
30378,7.0,33.0
35722,1.0,170.0
33360,1.0,198.0
10750,1.0,18.0
104128,1.0,7.0
17282,7.0,186.0
90779,1.0,213.0
31052,9.0,33.0
79411,2.0,21.0
73961,1.0,219.0
86789,1.0,247.0
17472,7.0,186.0
75136,1.0,7.0
16767,7.0,186.0
106132,1.0,226.0
85188,1.0,29.0
25211,1.0,20.0
68845,7.0,15.0
69302,7.0,207.0
15241,7.0,44.0
91135,1.0,213.0
13677,7.0,184.0
77954,1.0,218.0
27155,1.0,25.0
84442,1.0,221.0
88207,1.0,18.0
15875,1.0,185.0
93378,2.0,213.0
103144,1.0,7.0
18584,7.0,186.0
11314,1.0,18.0
75410,1.0,7.0
30014,7.0,33.0
66280,7.0,44.0
73677,7.0,217.0
37212,1.0,38.0
82881,1.0,214.0
21697,6.0,98.0
79395,1.0,21.0
79083,1.0,21.0
18074,7.0,186.0
79431,1.0,21.0
80519,1.0,228.0
31812,7.0,33.0
20975,7.0,76.0
33554,1.0,198.0
84532,1.0,221.0
108619,1.0,65.0
27700,1.0,25.0
79765,2.0,21.0
80443,1.0,229.0
16703,7.0,186.0
72690,1.0,137.0
111551,1.0,174.0
27926,1.0,194.0
84988,1.0,29.0
17288,7.0,186.0
76106,1.0,7.0
74264,1.0,219.0
27161,1.0,25.0
27129,1.0,25.0
78513,1.0,21.0
73469,1.0,18.0
17200,7.0,186.0
68977,7.0,15.0
17130,7.0,186.0
26927,1.0,25.0
91341,1.0,270.0
112547,1.0,7.0
80879,1.0,213.0
36928,1.0,38.0
29490,9.0,33.0
81163,1.0,231.0
14075,7.0,44.0
13127,1.0,2.0
15815,7.0,44.0
17220,7.0,186.0
102817,1.0,7.0
29910,7.0,33.0
15233,7.0,44.0
19002,7.0,186.0
104808,1.0,7.0
93286,1.0,229.0
75402,1.0,7.0
113453,1.0,18.0
32074,7.0,33.0
27916,1.0,194.0
90120,1.0,176.0
32466,18.0,33.0
29014,1.0,32.0
28626,1.0,30.0
25525,1.0,23.0
28878,1.0,30.0
28466,1.0,30.0
26587,1.0,23.0
36826,1.0,38.0
102953,1.0,7.0
36696,1.0,38.0
20789,7.0,76.0
24101,1.0,20.0
78098,1.0,234.0
23885,1.0,20.0
70672,8.0,27.0
87753,1.0,218.0
31590,20.0,33.0
88325,1.0,239.0
34334,7.0,201.0
29208,1.0,32.0
28060,1.0,194.0
79407,1.0,21.0
75000,1.0,7.0
67652,1.0,10.0
35734,1.0,170.0
13845,6.0,44.0
70918,1.0,140.0
26197,1.0,23.0
13597,1.0,4.0
18032,7.0,186.0
23637,1.0,20.0
13703,7.0,44.0
82805,1.0,50.0
82915,1.0,214.0
92568,2.0,213.0
83033,1.0,213.0
78863,2.0,21.0
25047,1.0,20.0
26073,1.0,23.0
23507,1.0,20.0
33170,1.0,198.0
25285,1.0,20.0
11313,1.0,18.0
17132,7.0,186.0
9662,1.0,18.0
90907,1.0,78.0
28154,7.0,194.0
75118,1.0,7.0
76296,2.0,18.0
9587,1.0,9.0
16603,3.0,185.0
68698,8.0,6.0
